datetime,load_MW,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation_instant,dayofweek,hour,month,week_of_year,is_holiday,is_weekend,season
2025-01-01 00:00:00,61780.0,4.5645,95.54862,14.734735,0.0,2,0,1,1,0,0,winter
2025-01-01 01:00:00,61543.0,4.7145,97.2428,16.580532,0.0,2,1,1,1,0,0,winter
2025-01-01 02:00:00,61594.0,4.3645,95.20601,16.516901,0.0,2,2,1,1,0,0,winter
2025-01-01 03:00:00,61085.0,4.1645,94.529434,15.215058,0.0,2,3,1,1,0,0,winter
2025-01-01 04:00:00,61409.0,4.2145,92.877846,15.676542,0.0,2,4,1,1,0,0,winter
2025-01-01 05:00:00,60751.0,4.5145,89.67084,15.898188,0.0,2,5,1,1,0,0,winter
2025-01-01 06:00:00,60068.0,5.0145,88.45338,16.985933,0.0,2,6,1,1,0,0,winter
2025-01-01 07:00:00,59267.0,5.3145,88.479675,18.374992,0.0,2,7,1,1,0,0,winter
2025-01-01 08:00:00,58796.0,5.5645,88.501526,19.91503,0.0,2,8,1,1,0,0,winter
2025-01-01 09:00:00,58179.0,6.1145,87.9316,20.096418,32.148003,2,9,1,1,0,0,winter
2025-01-01 10:00:00,57657.0,6.5145,87.05102,21.27734,61.259968,2,10,1,1,0,0,winter
2025-01-01 11:00:00,56876.0,6.8645,85.87843,18.469963,90.767715,2,11,1,1,0,0,winter
2025-01-01 12:00:00,56698.0,7.0145,83.820404,19.758228,103.6671,2,12,1,1,0,0,winter
2025-01-01 13:00:00,56240.0,6.7645,87.99062,17.258425,73.05024,2,13,1,1,0,0,winter
2025-01-01 14:00:00,55908.0,7.2145,85.61655,22.16998,57.928417,2,14,1,1,0,0,winter
2025-01-01 15:00:00,55611.0,7.7145,83.03227,26.887566,32.450462,2,15,1,1,0,0,winter
2025-01-01 16:00:00,56089.0,7.6644998,83.31565,23.31747,0.0,2,16,1,1,0,0,winter
2025-01-01 17:00:00,55821.0,8.1145,82.22087,23.913593,0.0,2,17,1,1,0,0,winter
2025-01-01 18:00:00,55819.0,8.4645,81.4149,24.762268,0.0,2,18,1,1,0,0,winter
2025-01-01 19:00:00,55713.0,8.4645,81.6977,25.415718,0.0,2,19,1,1,0,0,winter
2025-01-01 20:00:00,56392.0,8.514501,82.27232,25.762016,0.0,2,20,1,1,0,0,winter
2025-01-01 21:00:00,56440.0,8.7145,83.15543,26.410975,0.0,2,21,1,1,0,0,winter
2025-01-01 22:00:00,56569.0,8.764501,84.60772,25.277025,0.0,2,22,1,1,0,0,winter
2025-01-01 23:00:00,56701.0,9.064501,84.35111,26.347105,0.0,2,23,1,1,0,0,winter
2025-01-02 00:00:00,56884.0,9.1145,86.40769,24.975931,0.0,3,0,1,1,0,0,winter
2025-01-02 01:00:00,57024.0,9.6145,85.57657,27.474037,0.0,3,1,1,1,0,0,winter
2025-01-02 02:00:00,57005.0,9.064501,95.05646,16.575644,0.0,3,2,1,1,0,0,winter
2025-01-02 03:00:00,57188.0,5.0145,94.56588,16.215992,0.0,3,3,1,1,0,0,winter
2025-01-02 04:00:00,57114.0,4.9144998,96.90784,12.241323,0.0,3,4,1,1,0,0,winter
2025-01-02 05:00:00,57232.0,3.6645,96.53526,9.979859,0.0,3,5,1,1,0,0,winter
2025-01-02 06:00:00,57313.0,2.5644999,99.29211,6.8777895,0.0,3,6,1,1,0,0,winter
2025-01-02 07:00:00,57283.0,1.8645,100.0,5.994297,0.0,3,7,1,1,0,0,winter
2025-01-02 08:00:00,57233.0,1.8145001,99.643326,6.297428,0.0,3,8,1,1,0,0,winter
2025-01-02 09:00:00,57629.0,2.1145,97.881935,5.637765,8.455059,3,9,1,1,0,0,winter
2025-01-02 10:00:00,58055.0,2.8144999,94.470795,5.7204895,23.280645,3,10,1,1,0,0,winter
2025-01-02 11:00:00,58320.0,3.3645,93.49298,5.8104043,44.849014,3,11,1,1,0,0,winter
2025-01-02 12:00:00,58527.0,3.6145,93.838,5.2939587,24.403511,3,12,1,1,0,0,winter
2025-01-02 13:00:00,58802.0,4.3145,93.871796,7.1389914,32.28213,3,13,1,1,0,0,winter
2025-01-02 14:00:00,59161.0,4.5645,93.55394,6.6818557,32.04511,3,14,1,1,0,0,winter
2025-01-02 15:00:00,59352.0,4.8645,94.89168,6.384293,21.285076,3,15,1,1,0,0,winter
2025-01-02 16:00:00,59769.0,4.8645,95.55916,4.829907,0.0007869151,3,16,1,1,0,0,winter
2025-01-02 17:00:00,60026.0,4.0645,95.530975,6.804381,0.0,3,17,1,1,0,0,winter
2025-01-02 18:00:00,60188.0,3.6145,94.50564,7.056826,0.0,3,18,1,1,0,0,winter
2025-01-02 19:00:00,60491.0,3.0145,94.81649,8.6867485,0.0,3,19,1,1,0,0,winter
2025-01-02 20:00:00,61069.0,2.2145,95.46477,7.5942082,0.0,3,20,1,1,0,0,winter
2025-01-02 21:00:00,60531.0,1.4645,96.127205,7.491114,0.0,3,21,1,1,0,0,winter
2025-01-02 22:00:00,61575.0,0.81450003,96.45519,7.029225,0.0,3,22,1,1,0,0,winter
2025-01-02 23:00:00,61332.0,0.26450002,96.439415,6.522361,0.0,3,23,1,1,0,0,winter
